Sample	QV	Error_rate	Completeness
Scer1_q10_l500_Flye	43.7133	4.25273e-05	92.6002
Scer1_q10_l500_Flye_medaka	41.541	7.01295e-05	92.5829
Scer1_q10_l500_hifiasm	48.6372	1.36863e-05	92.6749
Scer1_q10_l500_hifiasm_medaka	42.2489	5.95809e-05	92.7389
Scer1_q10_l500_nextdenovo	40.8752	8.17486e-05	82.7026
Scer1_q10_l500_nextdenovo_medaka	38.1979	0.000151429	82.9804
Scer2_q10_l500_Flye	24.3534	0.00366996	95.594
Scer2_q10_l500_Flye_medaka	24.6501	0.00342757	95.8207
Scer2_q10_l500_hifiasm	37.4762	0.000178805	79.6565
Scer2_q10_l500_hifiasm_medaka	34.1083	0.0003883	79.5304
