Assembly	Scer1_Flye	Scer2_Flye	Scer1_hifiasm	Scer2_hifiasm	Scer1_nextdenovo	Scer1_Flye_medaka	Scer2_Flye_medaka	Scer1_hifiasm_medaka	Scer2_hifiasm_medaka	Scer1_nextdenovo_medaka	Scer1_Flye_ragtag	Scer1_Flye_ragtag_broken	Scer2_Flye_ragtag	Scer2_Flye_ragtag_broken	Scer1_hifiasm_ragtag	Scer1_hifiasm_ragtag_broken	Scer2_hifiasm_ragtag	Scer2_hifiasm_ragtag_broken	Scer1_nextdenovo_ragtag	Scer1_nextdenovo_ragtag_broken	Scer1_Flye_longstitch	Scer1_Flye_longstitch_broken	Scer2_Flye_longstitch	Scer2_Flye_longstitch_broken	Scer1_hifiasm_longstitch	Scer1_hifiasm_longstitch_broken	Scer2_hifiasm_longstitch	Scer2_hifiasm_longstitch_broken	Scer1_nextdenovo_longstitch	Scer1_nextdenovo_longstitch_broken
# misassemblies	116	47	109	3	117	115	51	110	3	114	131	114	195	51	143	110	6	3	142	114	109	106	57	51	109	104	3	3	111	105
  # contig misassemblies	116	47	109	3	117	115	51	110	3	114	110	114	39	51	112	110	3	3	113	114	105	106	52	51	104	104	3	3	104	105
    # c. relocations	56	37	49	2	49	56	39	50	2	47	57	55	35	39	52	50	2	2	50	46	51	50	39	39	53	53	2	2	48	48
    # c. translocations	57	9	59	1	68	56	11	58	1	67	50	55	4	11	58	58	1	1	62	67	50	52	12	11	50	50	1	1	55	56
    # c. inversions	3	1	1	0	0	3	1	2	0	0	3	4	0	1	2	2	0	0	1	1	4	4	1	1	1	1	0	0	1	1
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	21	0	156	0	31	0	3	0	29	0	4	0	5	0	5	0	0	0	7	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	12	0	153	0	23	0	3	0	22	0	1	0	1	0	2	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	9	0	3	0	8	0	0	0	7	0	3	0	4	0	3	0	0	0	7	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	51	43	65	3	49	51	45	65	3	49	20	50	18	45	19	65	3	3	17	49	56	71	49	45	58	67	3	3	48	60
Misassembled contigs length	8311210	521353	5746485	23528	7125471	8318518	551449	5750114	23529	7126889	11733271	8241780	6782923	551449	11051082	5750114	41763	23529	10033276	7126889	7699461	4763069	731379	602562	7288826	5158851	23529	23529	6793256	4936759
# local misassemblies	85	35	73	1	74	85	33	74	1	74	81	86	34	33	72	74	1	1	73	74	78	76	33	33	77	75	1	1	68	67
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	29	0	343	0	92	0	1	0	20	0	2	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	30	0	126	0	39	0	1	0	6	0	94	0	23	0	76	0	1	0	65	0
# unaligned mis. contigs	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	3	3	0	0	1	1	0	0	0	0
# mismatches	56261	50230	52729	320	46758	56402	50191	51431	270	47668	56369	56416	50128	50191	51429	51431	270	270	47656	47668	55553	55507	49945	49943	50928	50747	270	270	46162	46051
# indels	9355	39210	11203	107	8591	7952	37617	7058	77	6247	7925	7951	37612	37617	7059	7058	77	77	6250	6247	7752	7649	37419	37397	6935	6925	77	77	5961	5938
    # indels (<= 5 bp)	8595	38789	10512	98	7990	7186	37189	6410	69	5661	7152	7185	37155	37189	6406	6410	69	69	5660	5661	6934	6933	36973	36968	6289	6291	69	69	5375	5377
    # indels (> 5 bp)	760	421	691	9	601	766	428	648	8	586	773	766	457	428	653	648	8	8	590	586	818	716	446	429	646	634	8	8	586	561
Indels length	32982	58317	32948	383	27018	31095	56612	25715	320	23623	31812	31094	59954	56612	26152	25715	320	320	24089	23623	32018	29075	56945	56366	25310	24963	320	320	23298	22532
